Ignoring fixed x limits to fulfill fixed data aspect with adjustable data limits.
Iteration 253, Error: 0.00689596177583951
Iteration 254, Error: 0.006890805234629482
Iteration 255, Error: 0.006886879963101666
Iteration 256, Error: 0.006881568060361332
Iteration 257, Error: 0.006877595377019041
Iteration 258, Error: 0.006872129433158847
Iteration 259, Error: 0.006868111314493053
Iteration 260, Error: 0.006862492693306521
Iteration 261, Error: 0.006858431063895942
Iteration 262, Error: 0.006853428759419522
Iteration 263, Error: 0.006848557903761154
Iteration 264, Error: 0.006844274000546768
Iteration 265, Error: 0.0068384951015341144
Iteration 266, Error: 0.0068349305929116255
Iteration 267, Error: 0.006828245912380737
Iteration 268, Error: 0.006825401647188034
Iteration 269, Error: 0.0068190097394840166
Iteration 270, Error: 0.006815690260734364
Iteration 271, Error: 0.006810237742646663
Iteration 272, Error: 0.006806720141794731
Iteration 273, Error: 0.0068014925836688
Iteration 274, Error: 0.006797932686321673
Iteration 275, Error: 0.006792563225157977
Iteration 276, Error: 0.006788962648559327
Iteration 277, Error: 0.006783452627200148
Iteration 278, Error: 0.0067798129467830925
Iteration 279, Error: 0.0067741637391862675
Iteration 280, Error: 0.00677048648903078
Iteration 281, Error: 0.006764699498841509
Iteration 282, Error: 0.006760986172187788
Iteration 283, Error: 0.006755062831295788
Iteration 284, Error: 0.006751314881066062
Iteration 285, Error: 0.006745618434351286
Iteration 286, Error: 0.0067414754875669836
Iteration 287, Error: 0.006736461653165549
Iteration 288, Error: 0.00673147084985537
Iteration 289, Error: 0.006727140108682583
Iteration 290, Error: 0.006722324448690475
Iteration 291, Error: 0.006717656512505776
Iteration 292, Error: 0.006713166664225945
Iteration 293, Error: 0.006708712936279504
Iteration 294, Error: 0.006703843377953156
Iteration 295, Error: 0.006700073871964474
Iteration 296, Error: 0.006694565339459224
Iteration 297, Error: 0.006691272471139431
Iteration 298, Error: 0.006685637298088132
Iteration 299, Error: 0.006682311298201515
Iteration 300, Error: 0.006676550835928108
Iteration 301, Error: 0.006673192906374581
Iteration 302, Error: 0.006667308526037363
Iteration 303, Error: 0.0066639198370497255
Iteration 304, Error: 0.006657912928514698
Iteration 305, Error: 0.006654494619159124
Iteration 306, Error: 0.006648366589879107
Iteration 307, Error: 0.006644919768584057
Iteration 308, Error: 0.006638672042490246
Iteration 309, Error: 0.006635197787576708
Iteration 310, Error: 0.006629129430845371
Iteration 311, Error: 0.006625455736070318
Iteration 312, Error: 0.0066199102997939185
Iteration 313, Error: 0.006616509924074254
Iteration 314, Error: 0.006610548948980721
Iteration 315, Error: 0.006607416691502888
Iteration 316, Error: 0.006601884689060977
Iteration 317, Error: 0.006598178419954248
Iteration 318, Error: 0.006593296200171572
Iteration 319, Error: 0.006588797479136321
Iteration 320, Error: 0.006584565020664179
Iteration 321, Error: 0.006579276226292841
Iteration 322, Error: 0.006575693386802417
Iteration 323, Error: 0.006569772825016251
Iteration 324, Error: 0.006566683523431482
Iteration 325, Error: 0.006560652929425537
Iteration 326, Error: 0.00655753764354472
Iteration 327, Error: 0.006551398337984793
Iteration 328, Error: 0.006548257947855962
Iteration 329, Error: 0.006542011261804426
Iteration 330, Error: 0.006538846624387862
Iteration 331, Error: 0.006532493898462111
Iteration 332, Error: 0.006529305848089084
Iteration 333, Error: 0.006522848431654182
Iteration 334, Error: 0.0065196377804652705
Iteration 335, Error: 0.006513077030829262
Iteration 336, Error: 0.0065104114500749155
Iteration 337, Error: 0.006503635478930736
Iteration 338, Error: 0.006501453180862704
Iteration 339, Error: 0.006494537593931593
Iteration 340, Error: 0.00649236713287582
Iteration 341, Error: 0.006486067515468541
Iteration 342, Error: 0.006483155368341542
Iteration 343, Error: 0.006477471350151642
Iteration 344, Error: 0.006473819937488745
Iteration 345, Error: 0.0064687510446312935
Iteration 346, Error: 0.006464362878179308
Iteration 347, Error: 0.006459908534802494
Iteration 348, Error: 0.006454786215591923
Iteration 349, Error: 0.00645094574546734
Iteration 350, Error: 0.006445091961883254
Iteration 351, Error: 0.006441864590072566
